sample_id,stage,tool_token_delta,distractor_delta
codecontests_cpp_95,resid_mid,0.03125,0.12255859375
codecontests_cpp_95,resid_post,0.03125,0.005859375
codecontests_java_95,resid_mid,0.03125,-0.033203125
codecontests_java_95,resid_post,-0.03125,-0.064453125
humaneval_python_95,resid_mid,0.0,0.39892578125
humaneval_python_95,resid_post,0.0625,-0.0546875
apps_python_96,resid_mid,-0.0625,0.2900390625
apps_python_96,resid_post,0.03125,-0.0546875
codecontests_java_96,resid_mid,0.03125,0.322265625
codecontests_java_96,resid_post,0.15625,0.1015625
mbpp_python_96,resid_mid,0.03125,0.458984375
mbpp_python_96,resid_post,0.0,0.2421875
apps_python_97,resid_mid,-0.09375,0.5732421875
apps_python_97,resid_post,-0.03125,0.0859375
humaneval_python_97,resid_mid,-0.0625,0.6005859375
humaneval_python_97,resid_post,0.0,0.06640625
apps_python_98,resid_mid,0.125,0.479095458984375
apps_python_98,resid_post,0.03125,0.2734375
codecontests_cpp_98,resid_mid,0.03125,0.1279296875
codecontests_cpp_98,resid_post,0.03125,0.03125
codecontests_java_98,resid_mid,0.03125,0.0361328125
codecontests_java_98,resid_post,-0.03125,0.2509765625
apps_python_99,resid_mid,0.0625,0.05859375
apps_python_99,resid_post,0.0625,-0.1171875
codecontests_cpp_99,resid_mid,0.0,0.5166015625
codecontests_cpp_99,resid_post,0.0,0.19140625
codecontests_java_99,resid_mid,0.03125,0.111328125
codecontests_java_99,resid_post,-0.03125,0.2109375
apps_python_100,resid_mid,0.0625,-0.25927734375
apps_python_100,resid_post,-0.0625,0.09375
codecontests_cpp_100,resid_mid,0.0625,0.375
codecontests_cpp_100,resid_post,0.0625,0.12109375
codecontests_java_100,resid_mid,0.0,0.0205078125
codecontests_java_100,resid_post,0.03125,-0.015625
humaneval_python_100,resid_mid,-0.1875,0.71484375
humaneval_python_100,resid_post,-0.0625,0.15625
apps_python_101,resid_mid,-0.125,0.52294921875
apps_python_101,resid_post,0.0,0.171875
codecontests_java_101,resid_mid,0.03125,-0.0078125
codecontests_java_101,resid_post,-0.0625,0.21875
apps_python_102,resid_mid,-0.125,0.490234375
apps_python_102,resid_post,-0.125,-0.015625
apps_python_103,resid_mid,-0.15625,0.3115234375
apps_python_103,resid_post,-0.09375,0.03125
mbpp_python_103,resid_mid,0.0,0.439453125
mbpp_python_103,resid_post,0.0,0.265625
apps_python_104,resid_mid,-0.15625,0.322265625
apps_python_104,resid_post,0.03125,-0.0703125
apps_python_105,resid_mid,0.09375,-0.123046875
apps_python_105,resid_post,0.0,0.015625
codecontests_java_105,resid_mid,0.09375,0.1689453125
codecontests_java_105,resid_post,0.0625,-0.03515625
apps_python_106,resid_mid,0.0,0.302734375
apps_python_106,resid_post,-0.03125,0.1953125
codecontests_cpp_106,resid_mid,0.0625,0.4130859375
codecontests_cpp_106,resid_post,0.0,0.1015625
codecontests_java_106,resid_mid,0.09375,0.061767578125
codecontests_java_106,resid_post,0.0625,0.025390625
apps_python_107,resid_mid,0.03125,0.5107421875
apps_python_107,resid_post,0.0,0.109375
codecontests_java_107,resid_mid,-0.15625,0.184326171875
codecontests_java_107,resid_post,-0.125,0.083984375
apps_python_108,resid_mid,-0.0625,0.44482421875
apps_python_108,resid_post,-0.0625,0.19921875
