sample_id,sample_rank,q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
codecontests_cpp_9,20,,6.875,1.0363636363636364,1.1090909090909091,0.9636363636363636,1.0,0,10,16
codecontests_java_9,21,,12.375,0.9292929292929293,0.9191919191919192,0.9090909090909091,0.9090909090909091,0,10,16
apps_python_10,22,,6.125,1.0816326530612246,1.1020408163265305,1.0612244897959184,1.0612244897959184,2,12,16
codecontests_cpp_11,23,,5.875,0.9787234042553191,0.9361702127659575,0.9361702127659575,0.9361702127659575,0,10,16
codecontests_java_11,24,,10.25,0.9634146341463414,0.926829268292683,0.9390243902439024,0.8658536585365854,2,12,16
humaneval_python_11,25,,5.75,0.9347826086956522,0.9130434782608695,0.9565217391304348,1.0,0,10,16
mbpp_python_11,26,,5.75,1.0,1.065217391304348,0.8913043478260869,0.9347826086956522,1,11,16
codecontests_cpp_12,27,,5.625,0.9111111111111111,0.9777777777777777,0.9777777777777777,0.9555555555555556,0,10,16
codecontests_java_12,28,,15.5625,0.9919678714859438,0.9879518072289156,0.9919678714859438,1.0200803212851406,0,10,16
apps_python_13,29,,6.875,1.0,1.0,1.018181818181818,1.0,3,13,16
codecontests_java_13,30,,12.125,1.092783505154639,1.1237113402061856,1.0515463917525774,1.0721649484536082,0,10,16
apps_python_14,31,,8.375,1.044776119402985,1.0895522388059702,1.0597014925373134,1.0298507462686568,2,12,16
codecontests_cpp_14,32,,8.375,0.9701492537313433,0.9552238805970149,1.0,0.9850746268656716,1,11,16
codecontests_java_14,33,,14.25,0.9912280701754386,0.9517543859649122,0.9649122807017544,0.9385964912280702,0,10,16
codecontests_cpp_15,34,,7.5,0.95,0.95,0.9833333333333333,0.9666666666666667,0,10,16
codecontests_java_15,35,,15.1875,1.008230452674897,1.0617283950617284,1.0246913580246915,1.0864197530864197,0,10,16
apps_python_16,36,,6.625,1.0,1.0377358490566038,0.9811320754716981,1.0566037735849056,1,11,16
codecontests_cpp_16,37,,6.25,1.0,1.04,1.0,1.06,0,10,16
codecontests_java_16,38,,9.375,0.96,0.92,0.9333333333333333,0.9333333333333333,0,10,16
apps_python_17,39,,7.25,1.0689655172413792,1.0689655172413792,1.0172413793103448,1.0,1,11,16
codecontests_cpp_17,40,,8.25,0.9545454545454546,1.0151515151515151,0.9242424242424242,1.0,0,10,16
codecontests_java_17,41,,19.875,0.949685534591195,0.9433962264150944,0.9685534591194969,0.9559748427672956,0,10,16
mbpp_python_17,42,,7.5,1.0166666666666666,1.0,1.05,1.0333333333333334,0,10,16
codecontests_cpp_18,43,,7.5,0.95,0.9666666666666667,0.9333333333333333,0.95,0,10,16
codecontests_java_18,44,,8.625,0.9855072463768116,0.9710144927536232,1.0,1.0,0,10,16
humaneval_python_18,45,,5.875,1.0,1.0638297872340425,0.9574468085106383,1.0,0,10,16
codecontests_java_19,46,,15.625,0.992,0.984,1.004,1.016,0,10,16
apps_python_20,47,,6.125,1.1224489795918366,1.163265306122449,1.1224489795918366,1.163265306122449,1,11,16
codecontests_cpp_20,48,,6.375,0.9215686274509803,0.8823529411764706,0.9607843137254902,0.9215686274509803,0,10,16
codecontests_java_20,49,,12.5,0.92,0.9,0.92,0.9,1,11,16
humaneval_python_21,50,,6.75,1.0,1.0555555555555556,0.9444444444444444,1.0185185185185186,1,11,16
apps_python_22,51,,6.875,1.0545454545454545,1.1272727272727272,0.9818181818181818,1.0545454545454545,1,11,16
codecontests_cpp_22,52,,6.375,0.9411764705882353,0.9411764705882353,0.9803921568627451,0.9803921568627451,0,10,16
codecontests_java_22,53,,8.75,1.1142857142857143,1.1,1.0714285714285714,1.042857142857143,0,10,16
apps_python_23,54,,6.25,1.08,1.08,1.04,1.04,0,10,16
codecontests_cpp_23,55,,8.125,1.0153846153846153,1.0461538461538462,0.9846153846153847,1.0307692307692307,0,10,16
codecontests_java_23,56,,13.0,0.9134615384615384,0.8846153846153846,0.9326923076923077,0.875,0,10,16
codecontests_cpp_24,57,,7.125,0.9649122807017544,0.9824561403508771,0.8947368421052632,0.8947368421052632,0,10,16
codecontests_java_24,58,,10.0,0.975,0.925,0.975,0.8875,1,11,16
